#CNTAS Song Sat Jul 19 07:55:56 2014 
#USER: Song 
#DATE: Sat Jul 19 07:55:56 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=10, step=0.2, end=350, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=   10.00 
#ANGLES:        s2th=  -59.31         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.64     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     24.20         71          8     6286.0        5.0     105895      0.001      0.000
     24.40         63         19     6521.0        5.0     105896      0.003      0.001
     24.60         89         15     6319.0        5.0     105897      0.002      0.001
     24.80        100         19     6304.0        5.0     105898      0.003      0.001
     25.00         95         16     6327.0        5.0     105899      0.003      0.001
     25.20        136         15     6338.0      5.007     105900      0.002      0.001
     25.40        147         24     6202.0        5.0     105901      0.004      0.001
     25.60        207         19     6307.0      5.007     105902      0.003      0.001
     25.80        291         42     6257.0        5.0     105903      0.007      0.001
     26.00        432         33     6229.0        5.0     105904      0.005      0.001
     26.20        727         34     6245.0        5.0     105905      0.005      0.001
     26.40       1467         51     6282.0        5.0     105906      0.008      0.001
     26.60       2813         56     6092.0        5.0     105907      0.009      0.001
     26.80       5163         75     6396.0        5.0     105908      0.012      0.001
     27.00       7330         82     6232.0        5.0     105909      0.013      0.001
     27.20       9353        102     6356.0        5.0     105910      0.016      0.002
     27.40       5632         68     6286.0        5.0     105911      0.011      0.001
     27.60       1495         37     6285.0        5.0     105912      0.006      0.001
     27.80        462         12     6290.0        5.0     105913      0.002      0.001
     28.00        269          8     6266.0        5.0     105914      0.001      0.000
     28.20        207          3     6344.0        5.0     105915      0.000      0.000
     28.40        168          4     6441.0        5.0     105916      0.001      0.000
     28.60        148          8     6410.0        5.0     105917      0.001      0.000
     28.80        118          4     6224.0        5.0     105918      0.001      0.000
     29.00        106          6     6206.0        5.0     105919      0.001      0.000
     29.20         86          4     6279.0        5.0     105920      0.001      0.000
     29.40         86          7     6257.0      5.005     105921      0.001      0.000
     29.60         74          4     6304.0        5.0     105922      0.001      0.000
     29.80         56          2     6206.0        5.0     105923      0.000      0.000
     30.00         61          4     6145.0        5.0     105924      0.001      0.000
     30.20         45          3     6346.0        5.0     105925      0.000      0.000
     30.40         41          3     6438.0        5.0     105926      0.000      0.000
     30.60         42          2     6174.0        5.0     105927      0.000      0.000
     30.80         37          1     6333.0        5.0     105928      0.000      0.000
     31.00         21          1     6307.0        5.0     105929      0.000      0.000
     31.20         41          4     6244.0        5.0     105930      0.001      0.000
     31.40         34          2     6292.0        5.0     105931      0.000      0.000
     31.60         28          2     6195.0        5.0     105932      0.000      0.000
     31.80         23          2     6201.0        5.0     105933      0.000      0.000
     32.00         18          2     6336.0        5.0     105934      0.000      0.000
     32.20         21          0     6276.0        5.0     105935      0.000      0.000
     32.40         25          4     6278.0        5.0     105936      0.001      0.000
     32.60         17          1     6220.0        5.0     105937      0.000      0.000
     32.80         14          0     6230.0        5.0     105938      0.000      0.000
     33.00         13          1     6146.0        5.0     105939      0.000      0.000
     33.20         15          0     6374.0      5.008     105940      0.000      0.000
     33.40          9          0     6289.0        5.0     105941      0.000      0.000
     33.60         12          1     6287.0        5.0     105942      0.000      0.000
     33.80         19          5     6339.0        5.0     105943      0.001      0.000
     34.00         14          1     6354.0        5.0     105944      0.000      0.000
     34.20          9          2     6357.0        5.0     105945      0.000      0.000
     34.40         12          2     6366.0        5.0     105946      0.000      0.000
     34.60         11          2     6213.0      5.007     105947      0.000      0.000
     34.80          6          1     6319.0        5.0     105948      0.000      0.000
     35.00         10          0     6358.0        5.0     105949      0.000      0.000
     35.20         10          0     6232.0        5.0     105950      0.000      0.000
