#CNTAS Song Wed Jul 16 09:19:16 2014 
#USER: Song 
#DATE: Wed Jul 16 09:19:16 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-83.7, step=0.2, end=-110, time=50)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   46.30          om=    0.00 
#ANGLES:        s2th=  -83.60         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.19     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -96.50       2497       2497   761064.0       50.0     101558      0.003      0.000
    -96.70       2962       2962   761931.0       50.0     101559      0.004      0.000
    -96.90       3509       3509   767818.0       50.0     101560      0.005      0.000
    -97.10       4507       4507   765895.0       50.0     101561      0.006      0.000
    -97.30       5322       5322   760932.0     50.008     101562      0.007      0.000
    -97.50       6149       6148   763809.0       50.0     101563      0.008      0.000
    -97.70       6670       6670   762847.0     50.006     101564      0.009      0.000
    -97.90       7246       7246   761900.0       50.0     101565      0.010      0.000
    -98.10       7355       7355   763467.0       50.0     101566      0.010      0.000
    -98.30       7111       7111   763226.0       50.0     101567      0.009      0.000
    -98.50       6803       6803   762111.0     50.007     101568      0.009      0.000
    -98.70       6612       6612   762118.0       50.0     101570      0.009      0.000
    -98.90       5898       5898   759613.0       50.0     101571      0.008      0.000
    -99.10       5568       5568   759593.0       50.0     101572      0.007      0.000
    -99.30       5044       5044   760393.0       50.0     101573      0.007      0.000
    -99.50       4557       4557   760205.0       50.0     101574      0.006      0.000
    -99.70       4025       4025   760098.0       50.0     101575      0.005      0.000
    -99.90       3551       3551   762822.0       50.0     101576      0.005      0.000
   -100.10       3070       3070   762900.0       50.0     101577      0.004      0.000
   -100.30       2783       2783   761976.0       50.0     101578      0.004      0.000
   -100.50       2406       2406   761095.0       50.0     101579      0.003      0.000
   -100.70       2199       2199   762069.0     50.007     101580      0.003      0.000
   -100.90       2021       2021   764596.0       50.0     101581      0.003      0.000
   -101.10       1939       1939   764604.0       50.0     101582      0.003      0.000
   -101.30       1827       1827   764851.0       50.0     101583      0.002      0.000
   -101.50       1780       1780   762299.0     50.006     101584      0.002      0.000
   -101.70       1831       1831   759974.0       50.0     101586      0.002      0.000
   -101.90       1885       1885   757951.0       50.0     101587      0.002      0.000
   -102.10       1707       1707   760804.0       50.0     101588      0.002      0.000
   -102.30       1884       1884   761772.0       50.0     101589      0.002      0.000
   -102.50       1715       1715   756200.0       50.0     101590      0.002      0.000
   -102.70       1723       1723   762655.0       50.0     101591      0.002      0.000
   -102.90       1668       1668   757239.0       50.0     101592      0.002      0.000
   -103.10       1661       1661   763889.0       50.0     101593      0.002      0.000
   -103.30       1638       1638   761725.0       50.0     101594      0.002      0.000
   -103.50       1634       1634   759987.0       50.0     101595      0.002      0.000
   -103.70       1585       1585   757222.0       50.0     101596      0.002      0.000
   -103.90       1567       1567   755095.0       50.0     101597      0.002      0.000
   -104.10       1603       1603   755887.0       50.0     101598      0.002      0.000
   -104.30       1600       1599   756698.0       50.0     101599      0.002      0.000
   -104.50       1642       1642   759340.0       50.0     101600      0.002      0.000
   -104.70       1648       1648   758585.0       50.0     101602      0.002      0.000
   -104.90       1617       1617   755283.0       50.0     101603      0.002      0.000
   -105.10       1665       1665   761791.0       50.0     101604      0.002      0.000
   -105.30       1573       1573   753041.0       50.0     101605      0.002      0.000
   -105.50       1574       1574   756400.0       50.0     101606      0.002      0.000
   -105.70       1557       1557   754968.0       50.0     101607      0.002      0.000
   -105.90       1650       1649   753725.0       50.0     101608      0.002      0.000
   -106.10       1611       1611   754554.0       50.0     101609      0.002      0.000
   -106.30       1573       1573   753913.0       50.0     101610      0.002      0.000
   -106.50       1532       1532   754077.0       50.0     101611      0.002      0.000
   -106.70       1557       1557   753334.0       50.0     101612      0.002      0.000
   -106.90       1564       1564   754790.0       50.0     101613      0.002      0.000
   -107.10       1608       1608   756016.0       50.0     101614      0.002      0.000
   -107.30       1545       1545   756656.0       50.0     101615      0.002      0.000
   -107.50       1625       1625   758747.0       50.0     101616      0.002      0.000
   -107.70       1793       1793   754520.0     50.006     101617      0.002      0.000
   -107.90       1934       1934   755789.0       50.0     101619      0.003      0.000
   -108.10       2232       2232   755640.0       50.0     101620      0.003      0.000
   -108.30       2818       2817   758761.0       50.0     101621      0.004      0.000
   -108.50       3706       3706   757271.0       50.0     101622      0.005      0.000
   -108.70       5199       5199   757201.0       50.0     101623      0.007      0.000
   -108.90       7256       7255   752991.0       50.0     101624      0.010      0.000
   -109.10      10005      10005   752868.0       50.0     101625      0.013      0.000
   -109.30      13316      13316   756283.0       50.0     101626      0.018      0.000
   -109.50      15884      15884   756311.0       50.0     101627      0.021      0.000
   -109.70      18731      18731   758152.0       50.0     101629      0.025      0.000
   -109.90      20462      20462   752006.0       50.0     101630      0.027      0.000
