#CNTAS Song Sun Jul 20 04:41:07 2014 
#USER: Song 
#DATE: Sun Jul 20 04:41:07 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[0.1, 0.1, 2.1, 3.3], step=[0, 0, 0, 0.1], np=41, time=180)
#STEPS: EN = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.96       monho=   41.92          om=    0.68 
#ANGLES:        s2th=  -84.19         ath=   34.38      detang=   68.75 
#ANGLES:         sgU=   -3.24         sgL=   -0.85       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  996.27     detdist=  650.00 
#ANGLES:     anShRot=   16.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 0.1000  0.1000  2.1000   5.50 545721.0  180.00      241      110   107139  20.96  41.93   1.61 -88.16  27.20  54.40  -0.85  -3.24
 0.1000  0.1000  2.1000   5.60 549543.0  180.00      216      100   107141  20.96  41.93   1.35 -88.41  27.37  54.74  -0.85  -3.24
 0.1000  0.1000  2.1000   5.70 550041.0  180.00      221      103   107143  20.96  41.93   1.09 -88.66  27.54  55.09  -0.85  -3.24
 0.1000  0.1000  2.1000   5.80 547415.0  180.00      233      118   107145  20.96  41.93   0.83 -88.92  27.72  55.44  -0.85  -3.24
 0.1000  0.1000  2.1000   5.90 548252.0  180.00      222      106   107147  20.96  41.93   0.56 -89.18  27.90  55.80  -0.85  -3.24
 0.1000  0.1000  2.1000   6.00 547818.0  180.00      245      127   107149  20.96  41.93   0.30 -89.43  28.09  56.17  -0.85  -3.24
 0.1000  0.1000  2.1000   6.10 545388.0  180.00      234      115   107151  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   6.20 544648.0  180.00      236      112   107152  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   6.30 549600.0  180.00      248      121   107153  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   6.40 546505.0  180.00      255      126   107154  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   6.50 545547.0  180.00      232      116   107155  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   6.60 547398.0  180.00      223      109   107156  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   6.70 548064.0  180.00      223       99   107157  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   6.80 547597.0  180.01      209       99   107158  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   6.90 547199.0  180.00      232      123   107159  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   7.00 546077.0  180.00      210       87   107160  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   7.10 544800.0  180.00      220      108   107161  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   7.20 546447.0  180.00      224      102   107162  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
 0.1000  0.1000  2.1000   7.30 546783.0  180.00      233      119   107163  20.96  41.93   0.03 -89.70  28.27  56.55  -0.85  -3.24
