#CNTAS Song Sat Jul 19 01:06:59 2014 
#USER: Song 
#DATE: Sat Jul 19 01:06:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=350, step=0.2, end=10, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  350.00 
#ANGLES:        s2th=  -59.32         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.65     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    335.80          3          0     6257.0        5.0     104194      0.000      0.000
    335.60          0          0     6161.0        5.0     104195      0.000      0.000
    335.40          3          1     6380.0        5.0     104196      0.000      0.000
    335.20          4          0     6298.0        5.0     104197      0.000      0.000
    335.00          3          0     6324.0        5.0     104198      0.000      0.000
    334.80          2          0     6307.0        5.0     104199      0.000      0.000
    334.60          5          0     6437.0        5.0     104200      0.000      0.000
    334.40          2          0     6466.0        5.0     104201      0.000      0.000
    334.20          2          0     6254.0        5.0     104202      0.000      0.000
    334.00          2          1     6271.0        5.0     104203      0.000      0.000
    333.80          1          0     6384.0        5.0     104204      0.000      0.000
    333.60          0          0     6285.0        5.0     104205      0.000      0.000
    333.40          1          0     6448.0        5.0     104206      0.000      0.000
    333.20          1          0     6304.0      5.008     104207      0.000      0.000
    333.00          4          0     6186.0        5.0     104208      0.000      0.000
    332.80          1          0     6425.0        5.0     104209      0.000      0.000
    332.60          3          0     6248.0        5.0     104210      0.000      0.000
    332.40          2          1     6317.0        5.0     104211      0.000      0.000
    332.20          4          0     6341.0        5.0     104212      0.000      0.000
    332.00          6          0     6359.0        5.0     104213      0.000      0.000
    331.80          0          0     6427.0        5.0     104214      0.000      0.000
    331.60          2          1     6235.0        5.0     104215      0.000      0.000
    331.40          1          0     6367.0        5.0     104216      0.000      0.000
    331.20          5          1     6365.0        5.0     104217      0.000      0.000
    331.00          3          0     6224.0        5.0     104218      0.000      0.000
    330.80          1          0     6340.0        5.0     104219      0.000      0.000
    330.60          2          0     6451.0        5.0     104220      0.000      0.000
    330.40          3          0     6261.0        5.0     104221      0.000      0.000
    330.20          3          1     6441.0        5.0     104222      0.000      0.000
    330.00          5          1     6269.0        5.0     104223      0.000      0.000
    329.80          4          0     6454.0        5.0     104224      0.000      0.000
    329.60          2          0     6376.0        5.0     104225      0.000      0.000
    329.40          3          0     6321.0        5.0     104226      0.000      0.000
    329.20          3          0     6310.0        5.0     104227      0.000      0.000
    329.00          5          2     6386.0      5.008     104228      0.000      0.000
    328.80          2          0     6232.0        5.0     104229      0.000      0.000
    328.60          5          0     6359.0      5.008     104230      0.000      0.000
    328.40         10          2     6285.0        5.0     104231      0.000      0.000
    328.20          5          0     6402.0        5.0     104232      0.000      0.000
    328.00          2          1     6399.0        5.0     104233      0.000      0.000
    327.80          3          2     6277.0        5.0     104234      0.000      0.000
    327.60          7          1     6281.0        5.0     104235      0.000      0.000
    327.40          2          1     6345.0        5.0     104236      0.000      0.000
    327.20          5          3     6316.0        5.0     104237      0.000      0.000
    327.00          1          0     6392.0        5.0     104238      0.000      0.000
    326.80          3          1     6309.0        5.0     104239      0.000      0.000
    326.60          4          1     6392.0        5.0     104240      0.000      0.000
    326.40          1          0     6350.0        5.0     104241      0.000      0.000
    326.20          4          1     6409.0        5.0     104242      0.000      0.000
    326.00          2          1     6416.0        5.0     104243      0.000      0.000
    325.80          4          0     6446.0        5.0     104244      0.000      0.000
    325.60          1          0     6265.0        5.0     104245      0.000      0.000
    325.40          1          0     6364.0        5.0     104246      0.000      0.000
    325.20          4          1     6426.0        5.0     104247      0.000      0.000
    325.00          3          0     6331.0        5.0     104248      0.000      0.000
    324.80          3          1     6383.0      5.008     104249      0.000      0.000
    324.60          1          1     6291.0        5.0     104250      0.000      0.000
    324.40          3          0     6421.0        5.0     104251      0.000      0.000
    324.20          2          0     6261.0        5.0     104252      0.000      0.000
    324.00          4          0     6392.0        5.0     104253      0.000      0.000
